City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Limulunga,ZM,-15.0969,23.1376,66.22,92,65,5.03,light rain
1,Tres Arroyos,AR,-38.3739,-60.2798,73.6,22,0,8.46,clear sky
2,Tikrit,IQ,34.6071,43.6782,55.92,56,5,6.78,clear sky
3,San Buenaventura,MX,27.0833,-101.5333,71.47,68,0,5.5,clear sky
4,Aykhal,RU,66.0,111.5,-16.64,92,100,4.0,overcast clouds
5,Veraval,IN,20.9,70.3667,68.63,38,64,11.81,broken clouds
6,Kapaa,US,22.0752,-159.319,82.38,74,100,7.0,overcast clouds
7,Norman Wells,CA,65.282,-126.8329,-21.96,76,75,0.0,broken clouds
8,Hobart,AU,-42.8794,147.3294,60.26,73,75,17.27,broken clouds
9,Albany,US,42.6001,-73.9662,37.67,77,35,1.01,scattered clouds
10,Havoysund,NO,70.9963,24.6622,32.23,70,100,23.96,light snow
11,Hermanus,ZA,-34.4187,19.2345,70.81,89,52,8.84,broken clouds
12,Port Elizabeth,ZA,-33.918,25.5701,73.09,99,98,1.01,overcast clouds
13,Atuona,PF,-9.8,-139.0333,78.04,69,34,13.02,scattered clouds
14,Grafton,US,42.207,-71.6856,39.92,71,6,1.01,clear sky
15,Djambala,CG,-2.5447,14.7533,67.1,94,100,2.71,overcast clouds
16,Pandan Niog,PH,6.2282,120.5631,81.5,76,100,6.67,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,42.46,87,100,5.75,light rain
18,Puerto Narino,CO,-3.7703,-70.3831,73.33,98,100,1.66,moderate rain
19,Narsaq,GL,60.9167,-46.05,19.47,76,82,7.61,broken clouds
20,Tasiilaq,GL,65.6145,-37.6368,10.38,57,3,5.17,clear sky
21,Dikson,RU,73.5069,80.5464,-0.62,95,100,15.73,overcast clouds
22,Butaritari,KI,3.0707,172.7902,81.75,77,100,16.55,overcast clouds
23,Cidreira,BR,-30.1811,-50.2056,71.4,88,0,9.57,clear sky
24,Kuybysheve,UA,47.358,36.6491,37.18,86,99,11.9,overcast clouds
25,Raga,SS,8.4596,25.678,71.28,29,60,6.31,broken clouds
26,Ghanzi,BW,-21.5667,21.7833,74.19,55,0,12.1,clear sky
27,Touros,BR,-5.1989,-35.4608,78.55,81,95,11.86,overcast clouds
28,Rikitea,PF,-23.1203,-134.9692,75.27,79,15,12.86,few clouds
29,Port Blair,IN,11.6667,92.75,77.04,94,75,2.3,broken clouds
30,Hilo,US,19.7297,-155.09,78.53,77,75,10.36,light rain
31,Kodiak,US,57.79,-152.4072,28.4,58,91,19.62,overcast clouds
32,Aklavik,CA,68.2191,-135.0107,-25.6,75,40,4.61,scattered clouds
33,Nuuk,GL,64.1835,-51.7216,35.73,62,100,33.62,overcast clouds
34,Punta Arenas,CL,-53.15,-70.9167,50.11,66,0,12.66,clear sky
35,Atasu,KZ,48.6814,71.6433,-3.35,99,100,3.78,overcast clouds
36,Laredo,US,27.5064,-99.5075,75.49,69,0,3.44,clear sky
37,Along,IN,28.1667,94.7667,52.32,70,0,1.7,clear sky
38,Jumla,NP,29.2747,82.1838,40.01,25,0,5.03,clear sky
39,Puerto Ayora,EC,-0.7393,-90.3518,69.55,91,2,9.22,clear sky
40,Qaanaaq,GL,77.484,-69.3632,22.96,80,100,17.18,overcast clouds
41,Lavrentiya,RU,65.5833,-171.0,7.97,84,17,6.93,few clouds
42,Pisco,PE,-13.7,-76.2167,69.03,83,20,3.44,few clouds
43,Salekhard,RU,66.53,66.6019,-17.18,88,76,6.33,broken clouds
44,Krasnoselkup,RU,65.7,82.4667,6.94,95,100,11.25,light snow
