City_ID,City,Country,Max Temp,Current Weather,Lat,Hotel Name,Lng
6,Kapaa,US,82.38,overcast clouds,22.0752,Pono Kai Resort,-159.319
13,Atuona,PF,78.04,scattered clouds,-9.8,Pearl Resort,-139.0333
16,Pandan Niog,PH,81.5,overcast clouds,6.2282,No hotel found,120.5631
22,Butaritari,KI,81.75,overcast clouds,3.0707,No hotel found,172.7902
27,Touros,BR,78.55,overcast clouds,-5.1989,Pousada Atlântico,-35.4608
30,Hilo,US,78.53,light rain,19.7297,Dolphin Bay Hotel,-155.09
55,Viedma,AR,79.29,overcast clouds,-40.8135,Níjar,-62.9967
58,Kavieng,PG,83.32,light rain,-2.5744,Kavieng Hotel,150.7967
64,Sao Borja,BR,79.95,clear sky,-28.6606,Hotel Obino,-56.0044
66,Hithadhoo,MV,82.15,overcast clouds,-0.6,Pebbles Inn,73.0833
70,Namatanai,PG,83.64,overcast clouds,-3.6667,Namatanai Hotel,152.4333
72,Cabo San Lucas,MX,81.05,overcast clouds,22.8909,Comfort Rooms,-109.9124
78,Vaini,TO,84.36,scattered clouds,-21.2,Keleti International Resort,-175.2
82,Samarai,PG,83.79,overcast clouds,-10.6167,No hotel found,150.6667
90,Finschhafen,PG,84.34,overcast clouds,-6.6024,No hotel found,147.8681
91,Bubaque,GW,80.82,clear sky,11.2833,Chez Julio,-15.8333
96,Avarua,CK,84.25,moderate rain,-21.2078,Paradise Inn,-159.775
98,Hervey Bay,AU,78.03,clear sky,-25.2986,Hervey Bay Hotel,152.8535
105,Mitsamiouli,KM,79.41,clear sky,-11.3847,Hotel le Paradis,43.2844
115,Cabedelo,BR,79.47,few clouds,-6.9811,No hotel found,-34.8339
116,Isangel,VU,87.91,broken clouds,-19.55,Tanna Lodge,169.2667
118,Merauke,ID,84.22,overcast clouds,-8.4667,No hotel found,140.3333
130,Itarema,BR,79.2,overcast clouds,-2.9248,Pousada Oásis,-39.9167
139,Pouebo,NC,83.52,broken clouds,-20.4,No hotel found,164.5667
142,George Town,MY,78.73,moderate rain,5.4112,Page 63 hostel,100.3354
146,Barao De Melgaco,BR,81.55,overcast clouds,-16.1944,No hotel found,-55.9675
162,Lagos,NG,79.12,clear sky,6.5833,No hotel found,3.75
163,Nabire,ID,86.45,overcast clouds,-3.3667,Hotel Anggrek,135.4833
174,Mareeba,AU,83.12,clear sky,-17.0,The Gateway Hotel,145.4333
176,Palauig,PH,82.69,overcast clouds,15.435,No hotel found,119.9045
187,Tabou,CI,78.33,clear sky,4.423,hôtel le rochet,-7.3528
190,Itaqui,BR,87.08,clear sky,-29.1253,Hotel Contursi,-56.5531
194,Mackay,AU,90.68,clear sky,-21.15,Mackay Oceanside Central Apartment Hotel,149.2
197,Faanui,PF,80.94,overcast clouds,-16.4833,Oa Oa Lodge,-151.75
198,Araceli,PH,80.62,light rain,10.5529,ARPA Lodge,119.9913
219,Tutoia,BR,80.2,overcast clouds,-2.7619,Pousada San Vicente,-42.2744
225,Muli,MV,81.07,overcast clouds,2.9167,No hotel found,73.5667
